"r\c","c00","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49"
"r10","(0,10) #180d00","(1,10) #180d00","(2,10) #0d1a05","(3,10) #180d00","(4,10) #180d00","(5,10) #0d1a05","(6,10) #180d00","(7,10) #180d00","(8,10) #0d1a05","(9,10) #180d00","(10,10) #180d00","(11,10) #0d1a05","(12,10) #0d1a05","(13,10) #180d00","(14,10) #180d00","(15,10) #0d1a05","(16,10) #180d00","(17,10) #180d00","(18,10) #0d1a05","(19,10) #0d1a05","(20,10) #180d00","(21,10) #180d00","(22,10) #0d1a05","(23,10) #0d1a05","(24,10) #180d00","(25,10) #180d00","(26,10) #0d1a05","(27,10) #0d1a05","(28,10) #180d00","(29,10) #180d00","(30,10) #0d1a05","(31,10) #180d00","(32,10) #180d00","(33,10) #0d1a05","(34,10) #180d00","(35,10) #180d00","(36,10) #0d1a05","(37,10) #180d00","(38,10) #180d00","(39,10) #180d00","(40,10) #0d1a05","(41,10) #0d1a05","(42,10) #0d1a05","(43,10) #0d1a05","(44,10) #0d1a05","(45,10) #0d1a05","(46,10) #0d1a05","(47,10) #0d1a05","(48,10) #0d1a05","(49,10) #0d1a05"
"r11","(0,11) #180d00","(1,11) #180d00","(2,11) #0f2006","(3,11) #180d00","(4,11) #180d00","(5,11) #0f2006","(6,11) #180d00","(7,11) #180d00","(8,11) #0f2006","(9,11) #180d00","(10,11) #180d00","(11,11) #0f2006","(12,11) #0f2006","(13,11) #180d00","(14,11) #180d00","(15,11) #0f2006","(16,11) #180d00","(17,11) #180d00","(18,11) #0f2006","(19,11) #0f2006","(20,11) #180d00","(21,11) #180d00","(22,11) #0f2006","(23,11) #0f2006","(24,11) #180d00","(25,11) #180d00","(26,11) #0f2006","(27,11) #0f2006","(28,11) #180d00","(29,11) #180d00","(30,11) #0f2006","(31,11) #180d00","(32,11) #180d00","(33,11) #0f2006","(34,11) #180d00","(35,11) #180d00","(36,11) #0f2006","(37,11) #180d00","(38,11) #180d00","(39,11) #180d00","(40,11) #0f2006","(41,11) #0f2006","(42,11) #0f2006","(43,11) #0f2006","(44,11) #0f2006","(45,11) #0f2006","(46,11) #0f2006","(47,11) #0f2006","(48,11) #0f2006","(49,11) #0f2006"
"r12","(0,12) #112408","(1,12) #112408","(2,12) #112408","(3,12) #112408","(4,12) #112408","(5,12) #112408","(6,12) #112408","(7,12) #112408","(8,12) #112408","(9,12) #112408","(10,12) #112408","(11,12) #112408","(12,12) #112408","(13,12) #112408","(14,12) #112408","(15,12) #112408","(16,12) #112408","(17,12) #112408","(18,12) #112408","(19,12) #112408","(20,12) #112408","(21,12) #112408","(22,12) #112408","(23,12) #112408","(24,12) #112408","(25,12) #112408","(26,12) #112408","(27,12) #112408","(28,12) #112408","(29,12) #112408","(30,12) #112408","(31,12) #112408","(32,12) #112408","(33,12) #112408","(34,12) #112408","(35,12) #112408","(36,12) #112408","(37,12) #112408","(38,12) #112408","(39,12) #112408","(40,12) #112408","(41,12) #112408","(42,12) #112408","(43,12) #112408","(44,12) #112408","(45,12) #112408","(46,12) #112408","(47,12) #112408","(48,12) #112408","(49,12) #112408"
"r13","(0,13) #132808","(1,13) #132808","(2,13) #132808","(3,13) #132808","(4,13) #132808","(5,13) #132808","(6,13) #132808","(7,13) #132808","(8,13) #132808","(9,13) #132808","(10,13) #132808","(11,13) #132808","(12,13) #132808","(13,13) #132808","(14,13) #132808","(15,13) #132808","(16,13) #132808","(17,13) #132808","(18,13) #132808","(19,13) #132808","(20,13) #132808","(21,13) #132808","(22,13) #132808","(23,13) #132808","(24,13) #132808","(25,13) #132808","(26,13) #132808","(27,13) #132808","(28,13) #132808","(29,13) #132808","(30,13) #132808","(31,13) #132808","(32,13) #132808","(33,13) #132808","(34,13) #132808","(35,13) #132808","(36,13) #132808","(37,13) #132808","(38,13) #132808","(39,13) #132808","(40,13) #132808","(41,13) #132808","(42,13) #132808","(43,13) #132808","(44,13) #132808","(45,13) #132808","(46,13) #132808","(47,13) #132808","(48,13) #132808","(49,13) #132808"
"r14","(0,14) #132808","(1,14) #132808","(2,14) #132808","(3,14) #132808","(4,14) #132808","(5,14) #132808","(6,14) #132808","(7,14) #132808","(8,14) #132808","(9,14) #132808","(10,14) #132808","(11,14) #132808","(12,14) #132808","(13,14) #132808","(14,14) #132808","(15,14) #132808","(16,14) #132808","(17,14) #132808","(18,14) #132808","(19,14) #132808","(20,14) #132808","(21,14) #132808","(22,14) #132808","(23,14) #132808","(24,14) #132808","(25,14) #132808","(26,14) #132808","(27,14) #132808","(28,14) #132808","(29,14) #132808","(30,14) #132808","(31,14) #132808","(32,14) #132808","(33,14) #132808","(34,14) #132808","(35,14) #132808","(36,14) #132808","(37,14) #132808","(38,14) #132808","(39,14) #132808","(40,14) #132808","(41,14) #132808","(42,14) #132808","(43,14) #132808","(44,14) #132808","(45,14) #132808","(46,14) #132808","(47,14) #132808","(48,14) #132808","(49,14) #132808"
"r15","(0,15)","(1,15)","(2,15)","(3,15)","(4,15)","(5,15)","(6,15)","(7,15)","(8,15)","(9,15)","(10,15)","(11,15)","(12,15)","(13,15)","(14,15)","(15,15)","(16,15)","(17,15)","(18,15)","(19,15)","(20,15)","(21,15)","(22,15)","(23,15)","(24,15)","(25,15)","(26,15)","(27,15)","(28,15)","(29,15)","(30,15)","(31,15)","(32,15)","(33,15)","(34,15)","(35,15)","(36,15)","(37,15)","(38,15)","(39,15)","(40,15)","(41,15)","(42,15)","(43,15)","(44,15)","(45,15)","(46,15)","(47,15)","(48,15)","(49,15)"
"r16","(0,16)","(1,16)","(2,16)","(3,16)","(4,16)","(5,16)","(6,16)","(7,16)","(8,16)","(9,16)","(10,16)","(11,16)","(12,16)","(13,16)","(14,16)","(15,16)","(16,16)","(17,16)","(18,16)","(19,16)","(20,16)","(21,16)","(22,16)","(23,16)","(24,16)","(25,16)","(26,16)","(27,16)","(28,16)","(29,16)","(30,16)","(31,16)","(32,16)","(33,16)","(34,16)","(35,16)","(36,16)","(37,16)","(38,16)","(39,16)","(40,16)","(41,16)","(42,16)","(43,16)","(44,16)","(45,16)","(46,16)","(47,16)","(48,16)","(49,16)"
"r17","(0,17)","(1,17)","(2,17)","(3,17)","(4,17)","(5,17)","(6,17)","(7,17)","(8,17)","(9,17)","(10,17)","(11,17)","(12,17)","(13,17)","(14,17)","(15,17)","(16,17)","(17,17)","(18,17)","(19,17)","(20,17)","(21,17)","(22,17)","(23,17)","(24,17)","(25,17)","(26,17)","(27,17)","(28,17)","(29,17)","(30,17)","(31,17)","(32,17)","(33,17)","(34,17)","(35,17)","(36,17)","(37,17)","(38,17)","(39,17)","(40,17)","(41,17)","(42,17)","(43,17)","(44,17)","(45,17)","(46,17)","(47,17)","(48,17)","(49,17)"
"r18","(0,18)","(1,18)","(2,18)","(3,18)","(4,18)","(5,18)","(6,18)","(7,18)","(8,18)","(9,18)","(10,18)","(11,18)","(12,18)","(13,18)","(14,18)","(15,18)","(16,18)","(17,18)","(18,18)","(19,18)","(20,18)","(21,18)","(22,18)","(23,18)","(24,18)","(25,18)","(26,18)","(27,18)","(28,18)","(29,18)","(30,18)","(31,18)","(32,18)","(33,18)","(34,18)","(35,18)","(36,18)","(37,18)","(38,18)","(39,18)","(40,18)","(41,18)","(42,18)","(43,18)","(44,18)","(45,18)","(46,18)","(47,18)","(48,18)","(49,18)"
"r19","(0,19)","(1,19)","(2,19)","(3,19)","(4,19)","(5,19)","(6,19)","(7,19)","(8,19)","(9,19)","(10,19)","(11,19)","(12,19)","(13,19)","(14,19)","(15,19)","(16,19)","(17,19)","(18,19)","(19,19)","(20,19)","(21,19)","(22,19)","(23,19)","(24,19)","(25,19)","(26,19)","(27,19)","(28,19)","(29,19)","(30,19)","(31,19)","(32,19)","(33,19)","(34,19)","(35,19)","(36,19)","(37,19)","(38,19)","(39,19)","(40,19)","(41,19)","(42,19)","(43,19)","(44,19)","(45,19)","(46,19)","(47,19)","(48,19)","(49,19)"
