r\c,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49
r10,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090,#0c5090
r11,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88,#084a88
r12,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a,#0a4a8a
r13,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298,#0d5298
r14,#1058a0,#ffffff,#c8e8ff,#ffffff,#1058a0,#1058a0,#1058a0,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#1058a0,#1058a0,#1058a0,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#1058a0,#1058a0,#1058a0,#1058a0,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#1058a0,#1058a0,#ffffff,#c8e8ff,#ffffff,#c8e8ff,#1058a0,#1058a0,#ffffff,#c8e8ff,#ffffff,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0,#1058a0
r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
