r\c,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49
r10,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e,#1a0e3e
r11,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#ffccff,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#ffccff,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a,#66ee99,#2a6a3a
r12,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a
r13,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a
r14,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a,#1a4a2a
r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
