"r\c","c00","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49"
"r10","(0,10) #1a0e3e","(1,10) #1a0e3e","(2,10) #1a0e3e","(3,10) #1a0e3e","(4,10) #1a0e3e","(5,10) #1a0e3e","(6,10) #1a0e3e","(7,10) #1a0e3e","(8,10) #1a0e3e","(9,10) #1a0e3e","(10,10) #1a0e3e","(11,10) #1a0e3e","(12,10) #1a0e3e","(13,10) #1a0e3e","(14,10) #1a0e3e","(15,10) #1a0e3e","(16,10) #1a0e3e","(17,10) #1a0e3e","(18,10) #1a0e3e","(19,10) #1a0e3e","(20,10) #1a0e3e","(21,10) #1a0e3e","(22,10) #1a0e3e","(23,10) #1a0e3e","(24,10) #1a0e3e","(25,10) #1a0e3e","(26,10) #1a0e3e","(27,10) #1a0e3e","(28,10) #1a0e3e","(29,10) #1a0e3e","(30,10) #1a0e3e","(31,10) #1a0e3e","(32,10) #1a0e3e","(33,10) #1a0e3e","(34,10) #1a0e3e","(35,10) #1a0e3e","(36,10) #1a0e3e","(37,10) #1a0e3e","(38,10) #1a0e3e","(39,10) #1a0e3e","(40,10) #1a0e3e","(41,10) #1a0e3e","(42,10) #1a0e3e","(43,10) #1a0e3e","(44,10) #1a0e3e","(45,10) #1a0e3e","(46,10) #1a0e3e","(47,10) #1a0e3e","(48,10) #1a0e3e","(49,10) #1a0e3e"
"r11","(0,11) #66ee99","(1,11) #2a6a3a","(2,11) #66ee99","(3,11) #2a6a3a","(4,11) #66ee99","(5,11) #2a6a3a","(6,11) #66ee99","(7,11) #2a6a3a","(8,11) #66ee99","(9,11) #2a6a3a","(10,11) #66ee99","(11,11) #2a6a3a","(12,11) #66ee99","(13,11) #2a6a3a","(14,11) #66ee99","(15,11) #2a6a3a","(16,11) #66ee99","(17,11) #ffccff","(18,11) #66ee99","(19,11) #2a6a3a","(20,11) #66ee99","(21,11) #2a6a3a","(22,11) #66ee99","(23,11) #ffccff","(24,11) #66ee99","(25,11) #2a6a3a","(26,11) #66ee99","(27,11) #2a6a3a","(28,11) #66ee99","(29,11) #2a6a3a","(30,11) #66ee99","(31,11) #2a6a3a","(32,11) #66ee99","(33,11) #2a6a3a","(34,11) #66ee99","(35,11) #2a6a3a","(36,11) #66ee99","(37,11) #2a6a3a","(38,11) #66ee99","(39,11) #2a6a3a","(40,11) #66ee99","(41,11) #2a6a3a","(42,11) #66ee99","(43,11) #2a6a3a","(44,11) #66ee99","(45,11) #2a6a3a","(46,11) #66ee99","(47,11) #2a6a3a","(48,11) #66ee99","(49,11) #2a6a3a"
"r12","(0,12) #1a4a2a","(1,12) #1a4a2a","(2,12) #1a4a2a","(3,12) #1a4a2a","(4,12) #1a4a2a","(5,12) #1a4a2a","(6,12) #1a4a2a","(7,12) #1a4a2a","(8,12) #1a4a2a","(9,12) #1a4a2a","(10,12) #1a4a2a","(11,12) #1a4a2a","(12,12) #1a4a2a","(13,12) #1a4a2a","(14,12) #1a4a2a","(15,12) #1a4a2a","(16,12) #1a4a2a","(17,12) #1a4a2a","(18,12) #1a4a2a","(19,12) #1a4a2a","(20,12) #1a4a2a","(21,12) #1a4a2a","(22,12) #1a4a2a","(23,12) #1a4a2a","(24,12) #1a4a2a","(25,12) #1a4a2a","(26,12) #1a4a2a","(27,12) #1a4a2a","(28,12) #1a4a2a","(29,12) #1a4a2a","(30,12) #1a4a2a","(31,12) #1a4a2a","(32,12) #1a4a2a","(33,12) #1a4a2a","(34,12) #1a4a2a","(35,12) #1a4a2a","(36,12) #1a4a2a","(37,12) #1a4a2a","(38,12) #1a4a2a","(39,12) #1a4a2a","(40,12) #1a4a2a","(41,12) #1a4a2a","(42,12) #1a4a2a","(43,12) #1a4a2a","(44,12) #1a4a2a","(45,12) #1a4a2a","(46,12) #1a4a2a","(47,12) #1a4a2a","(48,12) #1a4a2a","(49,12) #1a4a2a"
"r13","(0,13) #1a4a2a","(1,13) #1a4a2a","(2,13) #1a4a2a","(3,13) #1a4a2a","(4,13) #1a4a2a","(5,13) #1a4a2a","(6,13) #1a4a2a","(7,13) #1a4a2a","(8,13) #1a4a2a","(9,13) #1a4a2a","(10,13) #1a4a2a","(11,13) #1a4a2a","(12,13) #1a4a2a","(13,13) #1a4a2a","(14,13) #1a4a2a","(15,13) #1a4a2a","(16,13) #1a4a2a","(17,13) #1a4a2a","(18,13) #1a4a2a","(19,13) #1a4a2a","(20,13) #1a4a2a","(21,13) #1a4a2a","(22,13) #1a4a2a","(23,13) #1a4a2a","(24,13) #1a4a2a","(25,13) #1a4a2a","(26,13) #1a4a2a","(27,13) #1a4a2a","(28,13) #1a4a2a","(29,13) #1a4a2a","(30,13) #1a4a2a","(31,13) #1a4a2a","(32,13) #1a4a2a","(33,13) #1a4a2a","(34,13) #1a4a2a","(35,13) #1a4a2a","(36,13) #1a4a2a","(37,13) #1a4a2a","(38,13) #1a4a2a","(39,13) #1a4a2a","(40,13) #1a4a2a","(41,13) #1a4a2a","(42,13) #1a4a2a","(43,13) #1a4a2a","(44,13) #1a4a2a","(45,13) #1a4a2a","(46,13) #1a4a2a","(47,13) #1a4a2a","(48,13) #1a4a2a","(49,13) #1a4a2a"
"r14","(0,14) #1a4a2a","(1,14) #1a4a2a","(2,14) #1a4a2a","(3,14) #1a4a2a","(4,14) #1a4a2a","(5,14) #1a4a2a","(6,14) #1a4a2a","(7,14) #1a4a2a","(8,14) #1a4a2a","(9,14) #1a4a2a","(10,14) #1a4a2a","(11,14) #1a4a2a","(12,14) #1a4a2a","(13,14) #1a4a2a","(14,14) #1a4a2a","(15,14) #1a4a2a","(16,14) #1a4a2a","(17,14) #1a4a2a","(18,14) #1a4a2a","(19,14) #1a4a2a","(20,14) #1a4a2a","(21,14) #1a4a2a","(22,14) #1a4a2a","(23,14) #1a4a2a","(24,14) #1a4a2a","(25,14) #1a4a2a","(26,14) #1a4a2a","(27,14) #1a4a2a","(28,14) #1a4a2a","(29,14) #1a4a2a","(30,14) #1a4a2a","(31,14) #1a4a2a","(32,14) #1a4a2a","(33,14) #1a4a2a","(34,14) #1a4a2a","(35,14) #1a4a2a","(36,14) #1a4a2a","(37,14) #1a4a2a","(38,14) #1a4a2a","(39,14) #1a4a2a","(40,14) #1a4a2a","(41,14) #1a4a2a","(42,14) #1a4a2a","(43,14) #1a4a2a","(44,14) #1a4a2a","(45,14) #1a4a2a","(46,14) #1a4a2a","(47,14) #1a4a2a","(48,14) #1a4a2a","(49,14) #1a4a2a"
"r15","(0,15)","(1,15)","(2,15)","(3,15)","(4,15)","(5,15)","(6,15)","(7,15)","(8,15)","(9,15)","(10,15)","(11,15)","(12,15)","(13,15)","(14,15)","(15,15)","(16,15)","(17,15)","(18,15)","(19,15)","(20,15)","(21,15)","(22,15)","(23,15)","(24,15)","(25,15)","(26,15)","(27,15)","(28,15)","(29,15)","(30,15)","(31,15)","(32,15)","(33,15)","(34,15)","(35,15)","(36,15)","(37,15)","(38,15)","(39,15)","(40,15)","(41,15)","(42,15)","(43,15)","(44,15)","(45,15)","(46,15)","(47,15)","(48,15)","(49,15)"
"r16","(0,16)","(1,16)","(2,16)","(3,16)","(4,16)","(5,16)","(6,16)","(7,16)","(8,16)","(9,16)","(10,16)","(11,16)","(12,16)","(13,16)","(14,16)","(15,16)","(16,16)","(17,16)","(18,16)","(19,16)","(20,16)","(21,16)","(22,16)","(23,16)","(24,16)","(25,16)","(26,16)","(27,16)","(28,16)","(29,16)","(30,16)","(31,16)","(32,16)","(33,16)","(34,16)","(35,16)","(36,16)","(37,16)","(38,16)","(39,16)","(40,16)","(41,16)","(42,16)","(43,16)","(44,16)","(45,16)","(46,16)","(47,16)","(48,16)","(49,16)"
"r17","(0,17)","(1,17)","(2,17)","(3,17)","(4,17)","(5,17)","(6,17)","(7,17)","(8,17)","(9,17)","(10,17)","(11,17)","(12,17)","(13,17)","(14,17)","(15,17)","(16,17)","(17,17)","(18,17)","(19,17)","(20,17)","(21,17)","(22,17)","(23,17)","(24,17)","(25,17)","(26,17)","(27,17)","(28,17)","(29,17)","(30,17)","(31,17)","(32,17)","(33,17)","(34,17)","(35,17)","(36,17)","(37,17)","(38,17)","(39,17)","(40,17)","(41,17)","(42,17)","(43,17)","(44,17)","(45,17)","(46,17)","(47,17)","(48,17)","(49,17)"
"r18","(0,18)","(1,18)","(2,18)","(3,18)","(4,18)","(5,18)","(6,18)","(7,18)","(8,18)","(9,18)","(10,18)","(11,18)","(12,18)","(13,18)","(14,18)","(15,18)","(16,18)","(17,18)","(18,18)","(19,18)","(20,18)","(21,18)","(22,18)","(23,18)","(24,18)","(25,18)","(26,18)","(27,18)","(28,18)","(29,18)","(30,18)","(31,18)","(32,18)","(33,18)","(34,18)","(35,18)","(36,18)","(37,18)","(38,18)","(39,18)","(40,18)","(41,18)","(42,18)","(43,18)","(44,18)","(45,18)","(46,18)","(47,18)","(48,18)","(49,18)"
"r19","(0,19)","(1,19)","(2,19)","(3,19)","(4,19)","(5,19)","(6,19)","(7,19)","(8,19)","(9,19)","(10,19)","(11,19)","(12,19)","(13,19)","(14,19)","(15,19)","(16,19)","(17,19)","(18,19)","(19,19)","(20,19)","(21,19)","(22,19)","(23,19)","(24,19)","(25,19)","(26,19)","(27,19)","(28,19)","(29,19)","(30,19)","(31,19)","(32,19)","(33,19)","(34,19)","(35,19)","(36,19)","(37,19)","(38,19)","(39,19)","(40,19)","(41,19)","(42,19)","(43,19)","(44,19)","(45,19)","(46,19)","(47,19)","(48,19)","(49,19)"
